"time_horizon","mean_car","car_95","cvar_95","multiplier","label","regrowth_pct"
22,0.26151775867336,0.386131311208041,0.416965843718628,1.5,"1.5x baseline",3
23,0.268711872313651,0.390842630392716,0.42338642671509,1.5,"1.5x baseline",3
24,0.275495555559946,0.396222516755064,0.431378586664737,1.5,"1.5x baseline",3
25,0.281887315421932,0.403640280427805,0.434685101163131,1.5,"1.5x baseline",3
26,0.288187107567413,0.411640491397165,0.439138802162162,1.5,"1.5x baseline",3
27,0.293806598803297,0.414459845061923,0.443281110210862,1.5,"1.5x baseline",3
28,0.299444073357281,0.418749555808123,0.448787142178188,1.5,"1.5x baseline",3
29,0.304321400657847,0.424816813407889,0.455076680471767,1.5,"1.5x baseline",3
30,0.309674575031315,0.430964369924109,0.458567808516288,1.5,"1.5x baseline",3
31,0.314983526699319,0.433294305429531,0.462240475451682,1.5,"1.5x baseline",3
32,0.319340036452405,0.438845451780993,0.466639971680346,1.5,"1.5x baseline",3
33,0.324024009167652,0.440273507127926,0.468628781741138,1.5,"1.5x baseline",3
34,0.328006165492252,0.443129225837633,0.471657963124615,1.5,"1.5x baseline",3
35,0.3332125414393,0.448679368034026,0.477542333784501,1.5,"1.5x baseline",3
36,0.337440576368465,0.454488517497853,0.481574596886062,1.5,"1.5x baseline",3
37,0.341679422212531,0.456977154273995,0.484913207733026,1.5,"1.5x baseline",3
38,0.345336507726908,0.459839365800581,0.487206670885628,1.5,"1.5x baseline",3
39,0.348835367072183,0.464628765634637,0.490709932389711,1.5,"1.5x baseline",3
40,0.352674271670365,0.468918630880509,0.4966637467241,1.5,"1.5x baseline",3
41,0.355825236329143,0.472609706875045,0.499741436029627,1.5,"1.5x baseline",3
42,0.358956517513285,0.473503359594229,0.501561135663689,1.5,"1.5x baseline",3
43,0.36228690183847,0.477330768264295,0.504052471772296,1.5,"1.5x baseline",3
44,0.365501075225452,0.482933586706933,0.5085268220289,1.5,"1.5x baseline",3
45,0.368070707265996,0.483505368720679,0.509683081348218,1.5,"1.5x baseline",3
46,0.370961307415864,0.484597781350554,0.511318205959871,1.5,"1.5x baseline",3
47,0.373912010571983,0.488534169997407,0.515954595935668,1.5,"1.5x baseline",3
48,0.376444529546422,0.488702591470224,0.517298549831505,1.5,"1.5x baseline",3
